UHF_42,Incident_Address_Zip,gasses_count
bayside - littleneck,11361,33
bayside - littleneck,11362,16
bayside - littleneck,11363,5
bayside - littleneck,11364,90
bedford stuyvesant - crown heights,11212,136
bedford stuyvesant - crown heights,11213,233
bedford stuyvesant - crown heights,11216,170
bedford stuyvesant - crown heights,11233,187
bedford stuyvesant - crown heights,11238,254
bensonhurst - bay ridge,11209,236
bensonhurst - bay ridge,11214,124
bensonhurst - bay ridge,11228,30
borough park,11204,115
borough park,11218,159
borough park,11219,93
borough park,11230,292
canarsie - flatlands,11234,131
canarsie - flatlands,11236,75
canarsie - flatlands,11239,25
central harlem - morningside heights,10026,128
central harlem - morningside heights,10027,233
central harlem - morningside heights,10030,108
central harlem - morningside heights,10037,86
central harlem - morningside heights,10039,103
chelsea - clinton,10001,165
chelsea - clinton,10011,192
chelsea - clinton,10018,54
chelsea - clinton,10019,265
chelsea - clinton,10020,2
chelsea - clinton,10036,168
coney island - sheepshead bay,11223,95
coney island - sheepshead bay,11224,69
coney island - sheepshead bay,11229,116
coney island - sheepshead bay,11235,249
crotona -tremont,10453,121
crotona -tremont,10457,133
crotona -tremont,10460,100
downtown - heights - slope,11201,182
downtown - heights - slope,11205,143
downtown - heights - slope,11215,208
downtown - heights - slope,11217,108
downtown - heights - slope,11231,79
east flatbush - flatbush,11203,194
east flatbush - flatbush,11210,194
east flatbush - flatbush,11225,282
east flatbush - flatbush,11226,319
east harlem,10029,192
east harlem,10035,103
east new york,11207,116
east new york,11208,109
flushing - clearview,11354,69
flushing - clearview,11355,81
flushing - clearview,11356,34
flushing - clearview,11357,33
flushing - clearview,11358,36
flushing - clearview,11360,48
fordham - bronx pk,10458,167
fordham - bronx pk,10467,235
fordham - bronx pk,10468,139
fresh meadows,11365,46
fresh meadows,11366,5
fresh meadows,11367,77
gramercy park - murray hill,10010,133
gramercy park - murray hill,10016,180
gramercy park - murray hill,10017,114
gramercy park - murray hill,10022,180
greenpoint,11211,200
greenpoint,11222,135
greenwich village - soho,10012,124
greenwich village - soho,10013,125
greenwich village - soho,10014,167
high bridge - morrisania,10451,84
high bridge - morrisania,10452,159
high bridge - morrisania,10456,160
hunts point - mott haven,10454,87
hunts point - mott haven,10455,62
hunts point - mott haven,10459,120
hunts point - mott haven,10474,51
jamaica,11412,47
jamaica,11423,37
jamaica,11432,126
jamaica,11433,21
jamaica,11434,68
jamaica,11435,95
jamaica,11436,11
kingsbridge - riverdale,10463,182
kingsbridge - riverdale,10471,45
long island city - astoria,11101,129
long island city - astoria,11102,61
long island city - astoria,11103,75
long island city - astoria,11104,103
long island city - astoria,11105,132
long island city - astoria,11106,88
lower east side,10002,215
lower manhattan,10004,32
lower manhattan,10005,23
lower manhattan,10006,17
lower manhattan,10007,58
lower manhattan,10038,50
lower manhattan,10280,15
northeast bronx,10466,105
northeast bronx,10469,56
northeast bronx,10470,42
northeast bronx,10475,73
pelham - throgs neck,10461,75
pelham - throgs neck,10462,164
pelham - throgs neck,10464,5
pelham - throgs neck,10465,41
pelham - throgs neck,10472,91
pelham - throgs neck,10473,84
port richmond,10302,10
port richmond,10303,28
port richmond,10310,14
ridgewood -forest hills,11374,124
ridgewood -forest hills,11375,129
ridgewood -forest hills,11379,50
ridgewood -forest hills,11385,137
rockaway,11691,105
rockaway,11692,26
rockaway,11693,38
rockaway,11694,70
rockaway,11697,2
south beach - tottenville,10306,57
south beach - tottenville,10307,2
south beach - tottenville,10308,14
south beach - tottenville,10309,13
south beach - tottenville,10312,33
southeast queens,11004,27
southeast queens,11005,4
southeast queens,11411,19
southeast queens,11413,152
southeast queens,11422,12
southeast queens,11426,11
southeast queens,11427,20
southeast queens,11428,18
southeast queens,11429,15
southwest queens,11414,60
southwest queens,11415,162
southwest queens,11416,15
southwest queens,11417,21
southwest queens,11418,48
southwest queens,11419,58
southwest queens,11420,32
southwest queens,11421,24
stapleton - st. george,10301,397
stapleton - st. george,10304,54
stapleton - st. george,10305,54
sunset park,11220,117
sunset park,11232,48
union square - lower east side,10003,270
union square - lower east side,10009,230
upper east side,10021,128
upper east side,10028,162
upper east side,10044,11
upper east side,10128,249
upper west side,10023,297
upper west side,10024,460
upper west side,10025,366
washington heights,10031,652
washington heights,10032,197
washington heights,10033,145
washington heights,10034,88
washington heights,10040,617
west queens,11368,91
west queens,11369,43
west queens,11370,21
west queens,11372,111
west queens,11373,115
west queens,11377,149
west queens,11378,41
williamsburg - bushwick,11206,101
williamsburg - bushwick,11221,193
williamsburg - bushwick,11237,135
willowbrook,10314,55
