UHF_42,Incident_Address_Zip,sewageO_count
bayside - littleneck,11361,8
bayside - littleneck,11364,8
bedford stuyvesant - crown heights,11212,59
bedford stuyvesant - crown heights,11213,41
bedford stuyvesant - crown heights,11216,82
bedford stuyvesant - crown heights,11233,73
bedford stuyvesant - crown heights,11238,31
bensonhurst - bay ridge,11209,15
bensonhurst - bay ridge,11214,27
bensonhurst - bay ridge,11228,17
borough park,11204,14
borough park,11218,36
borough park,11219,14
borough park,11230,36
canarsie - flatlands,11234,37
canarsie - flatlands,11236,40
canarsie - flatlands,11239,5
central harlem - morningside heights,10026,26
central harlem - morningside heights,10027,45
central harlem - morningside heights,10030,16
central harlem - morningside heights,10037,15
central harlem - morningside heights,10039,19
chelsea - clinton,10001,12
chelsea - clinton,10011,25
chelsea - clinton,10018,2
chelsea - clinton,10019,19
chelsea - clinton,10036,25
coney island - sheepshead bay,11223,32
coney island - sheepshead bay,11224,20
coney island - sheepshead bay,11229,25
coney island - sheepshead bay,11235,21
crotona -tremont,10453,42
crotona -tremont,10457,28
crotona -tremont,10460,24
downtown - heights - slope,11201,31
downtown - heights - slope,11205,23
downtown - heights - slope,11215,15
downtown - heights - slope,11217,34
downtown - heights - slope,11231,22
east flatbush - flatbush,11203,67
east flatbush - flatbush,11210,31
east flatbush - flatbush,11225,46
east flatbush - flatbush,11226,86
east harlem,10029,56
east harlem,10035,27
east new york,11207,83
east new york,11208,62
flushing - clearview,11354,6
flushing - clearview,11355,9
flushing - clearview,11356,7
flushing - clearview,11357,3
flushing - clearview,11358,5
flushing - clearview,11360,4
fordham - bronx pk,10458,33
fordham - bronx pk,10467,69
fordham - bronx pk,10468,39
fresh meadows,11365,11
fresh meadows,11366,4
fresh meadows,11367,13
gramercy park - murray hill,10010,10
gramercy park - murray hill,10016,13
gramercy park - murray hill,10017,9
gramercy park - murray hill,10022,11
greenpoint,11211,18
greenpoint,11222,27
greenwich village - soho,10012,19
greenwich village - soho,10013,6
greenwich village - soho,10014,9
high bridge - morrisania,10451,17
high bridge - morrisania,10452,47
high bridge - morrisania,10456,45
hunts point - mott haven,10454,10
hunts point - mott haven,10455,17
hunts point - mott haven,10459,30
hunts point - mott haven,10474,12
jamaica,11412,28
jamaica,11423,11
jamaica,11432,9
jamaica,11433,18
jamaica,11434,37
jamaica,11435,33
jamaica,11436,11
kingsbridge - riverdale,10463,39
kingsbridge - riverdale,10471,4
long island city - astoria,11101,17
long island city - astoria,11102,8
long island city - astoria,11103,12
long island city - astoria,11104,11
long island city - astoria,11105,16
long island city - astoria,11106,10
lower east side,10002,40
lower manhattan,10005,3
lower manhattan,10006,3
lower manhattan,10007,6
lower manhattan,10038,5
lower manhattan,10280,3
northeast bronx,10466,34
northeast bronx,10469,46
northeast bronx,10470,8
northeast bronx,10475,12
pelham - throgs neck,10461,20
pelham - throgs neck,10462,34
pelham - throgs neck,10465,9
pelham - throgs neck,10472,27
pelham - throgs neck,10473,24
port richmond,10302,13
port richmond,10303,13
port richmond,10310,8
ridgewood -forest hills,11374,11
ridgewood -forest hills,11375,16
ridgewood -forest hills,11379,10
ridgewood -forest hills,11385,28
rockaway,11691,25
rockaway,11692,11
rockaway,11693,4
rockaway,11694,7
rockaway,11697,1
south beach - tottenville,10306,27
south beach - tottenville,10308,7
south beach - tottenville,10309,7
south beach - tottenville,10312,11
southeast queens,11004,5
southeast queens,11411,1
southeast queens,11413,20
southeast queens,11422,15
southeast queens,11426,2
southeast queens,11427,5
southeast queens,11428,3
southeast queens,11429,16
southwest queens,11414,12
southwest queens,11415,6
southwest queens,11416,6
southwest queens,11417,15
southwest queens,11418,7
southwest queens,11419,26
southwest queens,11420,15
southwest queens,11421,1
stapleton - st. george,10301,31
stapleton - st. george,10304,30
stapleton - st. george,10305,17
sunset park,11220,30
sunset park,11232,4
union square - lower east side,10003,26
union square - lower east side,10009,27
upper east side,10021,9
upper east side,10028,12
upper east side,10044,1
upper east side,10128,13
upper west side,10023,17
upper west side,10024,16
upper west side,10025,34
washington heights,10031,38
washington heights,10032,22
washington heights,10033,23
washington heights,10034,17
washington heights,10040,23
west queens,11368,9
west queens,11369,10
west queens,11370,14
west queens,11372,26
west queens,11373,20
west queens,11377,18
west queens,11378,12
williamsburg - bushwick,11206,44
williamsburg - bushwick,11221,61
williamsburg - bushwick,11237,52
willowbrook,10314,46
