UHF_42,Incident_Address_Zip,ventilation_count
bayside - littleneck,11361,18
bayside - littleneck,11362,8
bayside - littleneck,11363,17
bayside - littleneck,11364,12
bedford stuyvesant - crown heights,11212,98
bedford stuyvesant - crown heights,11213,96
bedford stuyvesant - crown heights,11216,81
bedford stuyvesant - crown heights,11233,106
bedford stuyvesant - crown heights,11238,97
bensonhurst - bay ridge,11209,99
bensonhurst - bay ridge,11214,57
bensonhurst - bay ridge,11228,12
borough park,11204,27
borough park,11218,50
borough park,11219,39
borough park,11230,87
canarsie - flatlands,11234,48
canarsie - flatlands,11236,49
canarsie - flatlands,11239,45
central harlem - morningside heights,10026,56
central harlem - morningside heights,10027,115
central harlem - morningside heights,10030,45
central harlem - morningside heights,10037,40
central harlem - morningside heights,10039,47
chelsea - clinton,10001,97
chelsea - clinton,10011,99
chelsea - clinton,10018,51
chelsea - clinton,10019,179
chelsea - clinton,10020,9
chelsea - clinton,10036,119
coney island - sheepshead bay,11223,57
coney island - sheepshead bay,11224,46
coney island - sheepshead bay,11229,67
coney island - sheepshead bay,11235,141
crotona -tremont,10453,79
crotona -tremont,10457,79
crotona -tremont,10460,65
downtown - heights - slope,11201,128
downtown - heights - slope,11205,42
downtown - heights - slope,11215,71
downtown - heights - slope,11217,56
downtown - heights - slope,11231,40
east flatbush - flatbush,11203,82
east flatbush - flatbush,11210,54
east flatbush - flatbush,11225,106
east flatbush - flatbush,11226,136
east harlem,10029,121
east harlem,10035,121
east new york,11207,86
east new york,11208,86
flushing - clearview,11354,65
flushing - clearview,11355,76
flushing - clearview,11356,21
flushing - clearview,11357,20
flushing - clearview,11358,6
flushing - clearview,11360,33
fordham - bronx pk,10458,111
fordham - bronx pk,10467,101
fordham - bronx pk,10468,66
fresh meadows,11365,51
fresh meadows,11366,13
fresh meadows,11367,16
gramercy park - murray hill,10010,466
gramercy park - murray hill,10016,168
gramercy park - murray hill,10017,57
gramercy park - murray hill,10022,108
greenpoint,11211,231
greenpoint,11222,28
greenwich village - soho,10012,65
greenwich village - soho,10013,77
greenwich village - soho,10014,70
high bridge - morrisania,10451,84
high bridge - morrisania,10452,124
high bridge - morrisania,10456,129
hunts point - mott haven,10454,30
hunts point - mott haven,10455,63
hunts point - mott haven,10459,82
hunts point - mott haven,10474,18
jamaica,11412,15
jamaica,11423,16
jamaica,11432,75
jamaica,11433,27
jamaica,11434,53
jamaica,11435,41
jamaica,11436,3
kingsbridge - riverdale,10463,121
kingsbridge - riverdale,10471,18
long island city - astoria,11101,72
long island city - astoria,11102,41
long island city - astoria,11103,26
long island city - astoria,11104,26
long island city - astoria,11105,29
long island city - astoria,11106,49
lower east side,10002,104
lower manhattan,10004,19
lower manhattan,10005,16
lower manhattan,10006,15
lower manhattan,10007,48
lower manhattan,10038,71
lower manhattan,10280,17
northeast bronx,10466,44
northeast bronx,10469,38
northeast bronx,10470,7
northeast bronx,10475,70
pelham - throgs neck,10461,60
pelham - throgs neck,10462,88
pelham - throgs neck,10464,8
pelham - throgs neck,10465,17
pelham - throgs neck,10472,56
pelham - throgs neck,10473,38
port richmond,10302,15
port richmond,10303,14
port richmond,10310,13
ridgewood -forest hills,11374,69
ridgewood -forest hills,11375,80
ridgewood -forest hills,11379,42
ridgewood -forest hills,11385,45
rockaway,11691,61
rockaway,11692,22
rockaway,11693,18
rockaway,11694,48
south beach - tottenville,10306,44
south beach - tottenville,10307,3
south beach - tottenville,10308,9
south beach - tottenville,10309,6
south beach - tottenville,10312,580
southeast queens,11004,4
southeast queens,11005,5
southeast queens,11411,5
southeast queens,11413,12
southeast queens,11422,12
southeast queens,11426,4
southeast queens,11427,15
southeast queens,11428,3
southeast queens,11429,8
southwest queens,11414,23
southwest queens,11415,32
southwest queens,11416,14
southwest queens,11417,16
southwest queens,11418,26
southwest queens,11419,16
southwest queens,11420,14
southwest queens,11421,6
stapleton - st. george,10301,63
stapleton - st. george,10304,29
stapleton - st. george,10305,29
sunset park,11220,53
sunset park,11232,17
union square - lower east side,10003,117
union square - lower east side,10009,115
upper east side,10021,79
upper east side,10028,86
upper east side,10044,7
upper east side,10128,83
upper west side,10023,100
upper west side,10024,122
upper west side,10025,156
washington heights,10031,72
washington heights,10032,82
washington heights,10033,59
washington heights,10034,28
washington heights,10040,60
west queens,11368,83
west queens,11369,14
west queens,11370,10
west queens,11372,55
west queens,11373,58
west queens,11377,48
west queens,11378,22
williamsburg - bushwick,11206,68
williamsburg - bushwick,11221,97
williamsburg - bushwick,11237,57
willowbrook,10314,46
